size, time
100, 0.000164
200, 0.001015
300, 0.002444
400, 0.003376
500, 0.006497
600, 0.011082
700, 0.020632
800, 0.024883
900, 0.036551
1000, 0.039003
2000, 0.330628
3000, 1.033979
4000, 2.641102
5000, 4.923605
6000, 8.292644
7000, 13.391052
8000, 20.247395
